income;profession;publicprivate;value
38000-38999;Socionom;private;0,030769231
39000-39999;Socionom;private;0,027350427
40000-40999;Socionom;private;0,024786325
41000-41999;Socionom;private;0,017094017
42000-42999;Socionom;private;0,01965812
43000-43999;Socionom;private;0,011965812
44000-44999;Socionom;private;0,007692308
45000-45999;Socionom;private;0,011111111
46000-46999;Socionom;private;0,006837607
47000-47999;Socionom;private;0,009401709
48000-48999;Socionom;private;0,005982906
49000-49999;Socionom;private;0,004273504
50000-50999;Socionom;private;0,007692308
51000-51999;Socionom;private;0,003418803
52000-52999;Socionom;private;0,004273504
53000-53999;Socionom;private;0,002564103
54000-54999;Socionom;private;0,002564103
55000-55999;Socionom;private;0,004273504
56000-56999;Socionom;private;0,004273504
57000-57999;Socionom;private;0,001709402
58000-58999;Socionom;private;0,004273504
59000-59999;Socionom;private;0,001709402
60000-60999;Socionom;private;0,005128205
61000-61999;Socionom;private;0,002564103
62000-62999;Socionom;private;0,004273504
63000-63999;Socionom;private;0,000854701
64000-64999;Socionom;private;0,000854701
65000-65999;Socionom;private;0,001709402
66000-66999;Socionom;private;0,001709402
67000-67999;Socionom;private;0,001709402
68000-68999;Socionom;private;0,000854701
69000-69999;Socionom;private;0,000854701
70000-70999;Socionom;private;0
71000-71999;Socionom;private;0
72000-72999;Socionom;private;0,000854701
73000-73999;Socionom;private;0
74000-74999;Socionom;private;0,000854701
75000-75999;Socionom;private;0,000854701
76000-76999;Socionom;private;0,000854701
77000-77999;Socionom;private;0
78000-78999;Socionom;private;0,001709402
79000-79999;Socionom;private;0
80000-;Socionom;private;0,009401709
